freq,psd_x,psd_y,psd_z,psd_xyz,zv(112.8),mzv(115.4),ei(138.2),2hump_ei(149.8),3hump_ei(149.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,5.742e-13,9.909e-15,5.103e-15,5.892e-13,0.998,0.997,0.997,0.995,0.994
3.0,3.790e-01,1.854e-02,7.096e-03,4.046e-01,0.996,0.994,0.993,0.990,0.986
4.5,5.552e+01,4.013e+00,1.478e+00,6.101e+01,0.993,0.990,0.988,0.984,0.977
6.0,4.143e+02,2.284e+01,1.100e+01,4.481e+02,0.989,0.985,0.983,0.977,0.967
7.5,9.241e+02,4.634e+01,2.230e+01,9.928e+02,0.986,0.980,0.978,0.969,0.956
9.0,1.484e+03,6.475e+01,2.779e+01,1.577e+03,0.982,0.975,0.972,0.960,0.944
10.5,2.046e+03,7.192e+01,3.634e+01,2.155e+03,0.977,0.969,0.965,0.951,0.931
12.0,2.007e+03,6.948e+01,2.953e+01,2.106e+03,0.972,0.963,0.958,0.941,0.916
13.5,1.889e+03,5.920e+01,2.455e+01,1.973e+03,0.967,0.956,0.950,0.930,0.901
15.0,1.991e+03,4.801e+01,1.991e+01,2.059e+03,0.961,0.948,0.942,0.919,0.885
16.5,2.032e+03,4.568e+01,1.606e+01,2.094e+03,0.955,0.940,0.933,0.907,0.868
18.0,2.208e+03,4.357e+01,1.659e+01,2.269e+03,0.949,0.932,0.924,0.894,0.850
19.5,2.427e+03,3.792e+01,1.827e+01,2.483e+03,0.942,0.923,0.914,0.881,0.831
21.0,2.676e+03,3.623e+01,1.843e+01,2.730e+03,0.934,0.914,0.904,0.867,0.811
22.5,2.870e+03,4.495e+01,1.853e+01,2.933e+03,0.927,0.904,0.894,0.852,0.791
24.0,3.084e+03,4.141e+01,1.917e+01,3.144e+03,0.919,0.894,0.883,0.837,0.770
25.4,3.255e+03,3.080e+01,1.907e+01,3.304e+03,0.910,0.884,0.871,0.822,0.749
26.9,3.447e+03,2.959e+01,1.610e+01,3.493e+03,0.902,0.873,0.859,0.806,0.727
28.4,3.655e+03,2.770e+01,1.608e+01,3.699e+03,0.893,0.861,0.847,0.789,0.704
29.9,3.899e+03,2.737e+01,1.596e+01,3.942e+03,0.883,0.850,0.834,0.772,0.682
31.4,4.076e+03,2.731e+01,1.477e+01,4.118e+03,0.873,0.838,0.821,0.755,0.658
32.9,4.329e+03,2.755e+01,1.462e+01,4.371e+03,0.863,0.825,0.808,0.737,0.635
34.4,4.633e+03,2.848e+01,1.525e+01,4.676e+03,0.853,0.813,0.794,0.719,0.611
35.9,5.016e+03,2.671e+01,1.643e+01,5.059e+03,0.842,0.799,0.780,0.701,0.587
37.4,5.365e+03,2.797e+01,1.684e+01,5.410e+03,0.831,0.786,0.765,0.682,0.563
38.9,5.732e+03,2.899e+01,1.615e+01,5.777e+03,0.819,0.772,0.751,0.663,0.539
40.4,6.012e+03,3.026e+01,1.774e+01,6.060e+03,0.807,0.758,0.736,0.644,0.515
41.9,6.443e+03,3.631e+01,2.013e+01,6.500e+03,0.795,0.744,0.720,0.625,0.492
43.4,6.778e+03,4.878e+01,1.961e+01,6.846e+03,0.783,0.730,0.705,0.606,0.468
44.9,7.435e+03,6.691e+01,2.112e+01,7.523e+03,0.770,0.715,0.689,0.586,0.444
46.4,7.993e+03,8.204e+01,2.574e+01,8.101e+03,0.757,0.700,0.673,0.567,0.421
47.9,8.726e+03,9.394e+01,3.133e+01,8.852e+03,0.744,0.684,0.657,0.547,0.398
49.4,9.452e+03,8.979e+01,3.446e+01,9.576e+03,0.730,0.669,0.641,0.527,0.375
50.9,1.008e+04,6.625e+01,3.133e+01,1.017e+04,0.717,0.653,0.624,0.508,0.353
52.4,1.021e+04,5.171e+01,3.023e+01,1.029e+04,0.702,0.637,0.608,0.488,0.331
53.9,1.044e+04,6.279e+01,3.530e+01,1.054e+04,0.688,0.621,0.591,0.469,0.309
55.4,1.108e+04,9.355e+01,4.521e+01,1.121e+04,0.673,0.605,0.574,0.449,0.289
56.9,1.257e+04,1.250e+02,5.633e+01,1.275e+04,0.659,0.589,0.557,0.430,0.268
58.4,1.436e+04,1.097e+02,5.780e+01,1.453e+04,0.644,0.573,0.541,0.411,0.248
59.9,1.577e+04,1.237e+02,4.147e+01,1.593e+04,0.628,0.556,0.524,0.392,0.229
61.4,1.583e+04,1.764e+02,2.817e+01,1.604e+04,0.613,0.539,0.507,0.373,0.211
62.9,1.450e+04,2.232e+02,4.808e+01,1.477e+04,0.597,0.523,0.490,0.354,0.193
64.4,1.362e+04,2.931e+02,8.325e+01,1.399e+04,0.581,0.506,0.473,0.336,0.176
65.9,1.429e+04,4.379e+02,1.160e+02,1.484e+04,0.565,0.489,0.456,0.318,0.160
67.4,1.529e+04,7.234e+02,1.464e+02,1.616e+04,0.549,0.472,0.439,0.300,0.145
68.9,1.654e+04,1.176e+03,1.774e+02,1.790e+04,0.532,0.456,0.422,0.283,0.130
70.4,1.788e+04,1.551e+03,1.947e+02,1.962e+04,0.515,0.439,0.405,0.266,0.116
